-15000,60.458,59.749,60.994,59.972,58.782,59.588,58.384,59.177,59.625,48.37,48.269
-14500,61.004,60.334,60.228,60.672,60.031,60.025,58.588,58.499,57.956,51.367,51.238
-14000,58.951,59.643,58.505,59.155,58.994,58.407,58.398,58.217,56.901,52.922,52.894
-13500,57.704,57.689,57.07,56.691,57.446,56.321,55.873,56.421,54.222,53.821,54.296
-13000,54.882,55.585,55.085,54.058,54.228,53.41,52.872,52.958,52.135,55.997,56.49
-12500,52.186,52.133,52.049,52.093,51.805,51.324,50.622,48.953,50.015,58.245,58.212
-12000,50.102,49.766,48.832,48.639,48.669,49.873,48.236,46.471,47.056,61.221,61.173
-11500,48.961,47.817,47.451,47.326,47.513,48.247,46.769,46.144,45.086,61.772,62.092
-11000,47.691,47.017,46.203,45.861,45.854,45.369,43.37,43.672,44.118,62.853,62.751
-10500,45.819,45.407,45.881,45.427,45.53,44.693,43.192,42.616,42.463,63.695,64.12
-10000,44.496,44.315,44.12,44.414,44.848,44.637,43.171,42.627,41.162,64.149,64.319
-9500,45.515,45.649,44.076,44.169,44.676,44.208,44.204,43.293,42.543,61.571,61.661
-9000,45.511,46.059,45.562,45.535,45.975,45.541,44.023,43.709,43.602,59.431,59.891
-8500,46.524,45.757,46.62,48.13,47.977,46.834,45.349,44.185,44.216,56.714,57.128
-8000,48.893,48.427,48.111,49.035,49.308,48.43,47.639,47.317,47.231,54.576,54.815
-7500,50.143,50.304,50.044,49.903,49.981,50.329,49.668,50.483,50.023,52.44,52.22
-7000,52.755,52.599,53.369,52.279,51.519,52.45,51.267,51.968,52.084,50.537,50.588
-6500,55.288,55.888,55.133,54.201,54.247,54.556,53.633,53.287,52.639,47.265,47.555
-6000,56.313,58.985,59.104,57.238,56.806,56.531,55.488,56.055,54.858,46.499,46.431
-5500,60.374,60.167,60.174,59.497,58.976,59.279,58.163,58.337,56.79,46.426,46.625
-5000,62.257,62.089,60.345,60.27,60.279,60.805,59.963,58.664,58.098,44.191,44.862
-4500,62.486,62.271,61.725,61.628,61.46,61.027,60.79,59.634,58.622,43.793,44.284
-4000,61.486,60.937,61.064,61.515,61.791,61.047,59.998,59.435,58.713,45.2,45.387
-3500,61.793,60.318,60.299,60.27,60.433,60.799,59.345,59.062,58.214,47.818,47.565
-3000,60.51,59.543,59.097,58.693,58.557,59.066,58.383,58.704,58.283,49.075,49.035
-2500,57.342,57.711,56.798,56.656,56.385,56.163,54.853,55.407,55.47,50.943,50.973
-2000,54.273,54.36,54.658,53.836,53.683,53.979,53.214,52.296,51.456,52.647,52.859
-1500,52.26,51.744,52.134,50.875,50.496,50.282,50.21,49.593,49.993,56.256,57.078
-1000,50.606,49.239,48.754,49.041,48.516,48.688,47.49,46.524,47.292,58.81,59.035
-500,48.884,48.895,47.173,47.272,45.854,47.584,47.353,45.639,46.003,60.222,60.025
0,47.326,46.654,46.21,45.62,46.114,45.713,44.976,44.58,44.47,60.371,60.146
500,46,44.847,44.814,43.813,45.019,45.781,44.485,44.783,43.245,60.166,60.359
1000,45.354,44.562,44.529,44.221,44.896,45.519,44.138,44.68,43.921,59.86,59.869
1500,44.842,45.317,45.203,45.468,45.815,45.456,44.861,45.101,45.476,58.104,58.341
2000,46.035,46.584,46.427,47.104,47.001,45.699,45.216,45.645,45.4,56.203,55.989
2500,48.402,48.702,48.583,48.703,48.301,47.561,46.881,46.547,46.52,54.682,54.582
3000,51.736,51.473,51.56,51.208,50.749,50.778,49.915,49.469,50.239,52.73,52.567
3500,53.853,53.081,52.66,52.784,51.929,52.515,52.086,52.018,51.956,50.317,50.693
4000,56.573,56.063,56.002,55.355,54.174,55.393,55.326,54.94,54.985,48.367,48.38
4500,57.462,58.507,58.946,58.329,57.52,58.029,57.32,57.076,56.58,46.003,45.926
5000,60.506,60.404,60.822,61.508,61.193,60.619,60.161,60.153,58.709,45.25,45.171
5500,62.962,62.966,62.866,62.335,62.103,62.04,62.589,62.593,60.631,43.995,44.266
6000,64.503,64.508,63.931,63.169,62.679,63.065,62.846,63.788,63.885,42.305,42.378
6500,65.332,65.701,64.402,63.753,64.187,64.384,64.2,62.27,62.429,43.612,43.496
7000,63.816,64.229,64.436,64.033,64.441,64.697,64.325,62.572,61.26,45.531,45.351
7500,65.072,62.881,63.781,63.22,63.483,63.807,62.149,61.589,61.312,46.895,46.904
8000,63.051,62.101,61.433,60.998,60.484,61.684,60.542,59.364,60.633,49.188,49.177
8500,59.394,59.736,58.793,59.532,58.605,57.954,57.641,57.069,57.507,51.815,51.55
9000,55.925,55.772,55.174,55.897,56.301,55.959,55.488,54.945,55.611,53.153,53.886
9500,53.859,53.355,52.859,53.422,54.494,53.704,53.277,53.299,53.358,55.332,55.335
10000,51.874,51.81,50.813,51.517,51.829,51.522,51.241,51.577,51.789,58.182,58.063
10500,50.585,50.675,50.77,50.752,50.313,50.12,50.667,50.109,50.492,59.094,59.038
11000,48.726,49.035,49.36,50.29,49.729,49.071,48.189,47.712,47.617,60.331,60.478
11500,49.057,49.083,48.564,48.719,49.85,48.887,48.127,47.647,47.448,59.704,60.22
12000,49.476,49.029,49.081,49.158,48.817,49.045,47.936,47.902,47.075,58.468,58.608
12500,49.831,50.35,50.936,50.095,49.655,48.981,48.241,48.761,48.268,56.868,57.208
13000,50.775,51.574,51.566,51.154,51.095,51.023,49.774,50.029,49.525,54.982,54.813
13500,52.176,53.097,52.279,51.807,52.842,53.678,53.213,51.708,50.072,52.108,52.467
14000,54.525,54.582,54.48,53.653,54.472,54.657,54.626,54.202,53.048,50.409,50.609
14500,57.708,56.995,56.277,55.88,55.766,55.799,55.336,55.307,55.906,47.859,48.025
15000,60.151,59.15,58.6,59.204,58.12,59.681,58.238,56.591,57.263,45.102,45.219
15500,62.025,61.942,60.823,62.025,61.707,61.369,60.537,59.62,59.097,43.895,43.679
16000,66.486,64.341,62.687,64.095,65.831,63.324,61.918,62.839,63.234,42.768,42.561
16500,66.734,66.259,65.736,64.753,65.831,66.333,64.421,64.335,64.197,42.593,42.546
17000,67.535,67.258,68.016,66.832,66.604,66.185,66.091,64.938,65.888,43.621,43.778
17500,67.826,67.59,66.563,67.177,67.091,66.677,65.922,65.439,65.8,44.583,44.84
18000,67.036,67.617,66.215,66.037,66.644,66.71,66.583,65.352,64.875,44.596,44.715
18500,66.483,65.936,65.608,65.41,65.392,65.001,65.195,64.988,64.899,46.386,46.571
19000,64.857,62.845,63.093,63.291,63.052,63.184,62.556,62.256,62.387,48.544,48.749
19500,61.306,61.052,59.629,60.517,60.849,60.005,59.689,60.057,59.622,50.872,51.066
20000,58.304,59.252,57.881,58.495,57.844,57.041,56.115,56.18,56.169,54.811,54.729
20500,56.104,56.356,56.216,54.021,56.046,54.816,53.65,53.677,53.336,55.971,56.163
21000,55.187,54.762,52.9,51.776,52.655,52.509,51.382,52.034,51.519,56.743,56.668
21500,52.889,52.92,53.156,51.911,50.608,51.032,50.706,50.311,51.176,56.93,56.991
22000,51.66,50.641,49.325,50.344,50.018,49.803,49.833,48.742,48.985,57.91,57.497
22500,49.484,51.477,49.713,48.97,49.643,50.705,48.803,49.137,48.302,57.8,57.644
